Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Latitude,Longitude
1006732,110065364135,LINDE ONTARIO CA,ONTARIO,CA,91761,5705 EAST AIRPORT DRIVE,SAN BERNARDINO COUNTY,325120,"C,P",Chemicals,69656.8,69656.8,,36.75,-121.61
1006860,110040997393,LIVE OAK LIMITED,BAKERSFIELD,CA,93308,7001 GRANITE ROAD,KERN COUNTY,221112,D,Power Plants,16728.588,16711.6,7.75,34.06,-117.53
1000072,110000609306,LOCKHEED MARTIN MISSILES & SPACE,SUNNYVALE,CA,94089,1111 LOCKHEED MARTIN WAY,SANTA CLARA COUNTY,336414,C,Other,22123.116,22100.1,10.5,35.61,-118.94
1010767,110000528643,LODI ENERGY CENTER,LODI,CA,95242,12745 N. THORNTON ROAD,SAN JOAQUIN COUNTY,221112,D,Power Plants,653967.98,653304.9,302.5,37.42,-122.04
1006107,110013961089,LOPEZ CANYON LANDFILL,LAKE VIEW TERRACE,CA,91342,11950 LOPEZ CANYON RD,LOS ANGELES COUNTY,562212,HH,Waste,120759.75,,120759.75,38.09,-121.38
1002286,110001187144,LUNDAY-THAGARD COMPANY,SOUTH GATE,CA,90280,9301 SOUTH GARFIELD AVENUE,LOS ANGELES COUNTY,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",37650.92,36843.2,766,34.29,-118.40
1006175,110021007426,LUZ SOLAR PARTNERS VIII & IX LTD.,HINKLEY,CA,92347,43880 HARPER LAKE ROAD,SAN BERNARDINO COUNTY,221114,C,Power Plants,583.848,583.3,0.25,33.95,-118.17
1001339,110002932328,La Paloma Generating Plant,MCKITTRICK,CA,93251,1760 WEST SKYLINE ROAD,KERN COUNTY,221112,"C,D",Power Plants,534601.32,534058.8,247.5,35.03,-117.35
1000064,110000516834,LONE STAR GAS LIQUIDS,SHAFTER,CA,93263,19430 BEECH AVENUE,KERN COUNTY,211130,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",35780.62,35587.4,77,35.30,-119.59
1007424,110071159849,Landers Sanitary Landfill,Landers,CA,92285,"59200 Winters Road, 1/2 mile east of Avalon Road",SAN BERNARDINO COUNTY,562212,"C,HH",Waste,45197.5,6,45191.5,35.45,-119.26
1000147,110065165662,Larkspur Energy Faciity,SAN DIEGO,CA,92154,9355 OTAY MESA ROAD,SAN DIEGO COUNTY,221112,D,Power Plants,16390.94,16374.5,7.5,34.15,-116.44
1006594,110012534784,Leprino Foods - Lemoore West,Lemore,CA,93245,351 North Belle Haven Drive,KINGS COUNTY,311513,C,Other,49978.112,49926.6,23.5,32.57,-116.94
1000903,110001157417,Liberty Packing,Los Banos,CA,93635,12045 S Ingomar Grade Road,MERCED COUNTY,311421,C,Other,117205.608,117084.5,55.25,36.30,-119.82
